Area,Province,Last Frost,First Frost
Chilliwack,BC,April 1-10,November 11-20
Dawson Creek,BC,May 11-20,September 11-20
Kamloops,BC,May 1-10,October 1-10
Kelowna,BC,April 21-30,October 21-31
Nanaimo,BC,April 1-10,November 1-10
Port Alberni,BC,May 1-10,October 11-20
Prince George,BC,May 21-31,September 11-20
Terrace,BC,May 11-20,October 11-20
Vancouver,BC,March 21-31,November 11-20
Vernon,BC,April 11-20,October 21-31
Victoria,BC,March 1-10,November 11-20
Corner Brook,Newfoundland & Labrador,May 21-31,October 11-20
Grand Falls,Newfoundland & Labrador,May 21-31,October 1-10
St. John's,Newfoundland & Labrador,May 21-31,October 11-20
Halifax,Nova Scotia,April 21-30,October 11-20
Kentville,Nova Scotia,May 11-20,October 1-10
Shelburne,Nova Scotia,May 1-10,September 11-20
Sydney,Nova Scotia,May 11-20,October 11-20
Yarmouth,Nova Scotia,April 21-30,October 11-20
Charlottetown,Prince Edward Island,May 11-20,October 11-20
Summerside,Prince Edward Island,May 21-30,October 1-10
Tignish,Prince Edward Island,May 1-10,October 1-10
Bathurst,New Brunswick,May 11-20,September 21-30
Edmunston,New Brunswick,May 11-20,September 21-30
Fredericton,New Brunswick,May 11-20,September 21-30
Grand Falls,New Brunswick,May 11-20,September 21-30
Moncton,New Brunswick,May 11-20,October 1-10
Saint John,New Brunswick,May 1-10,October 21-30
Baie-Comeau,QuŽbec,May 21-31,September 11-20
Chicoutimi,QuŽbec,April 21-31,September 11-20
MontrŽal,QuŽbec,April 21-30,October 1-10
QuŽbec,QuŽbec,May 1-10,September 21-30
Rimouski,QuŽbec,May 11-20,October 11-20
Sherbrooke,QuŽbec,May 11-20,September 21-30
Trois-Rivires,QuŽbec,May 11-20,September 21-30
Thetford Mines,QuŽbec,May 11-20,September 21-30
Barrie,Ontario,May 11-20,October 1-10
Hamilton,Ontario,May 1-10,October 11-20
Kingston,Ontario,April 21-30,October 1-10
London,Ontario,May 1-10,October 1-10
Ottawa,Ontario,May 1-10,October 1-10
Owen Sound,Ontario,May 1-10,October 1-10
Parry Sound,Ontario,May 21-31,September 11-20
Peterborough,Ontario,May 1-10,September 21-30
St. Catharines,Ontario,May 21-30,November 1-10
Sudbury,Ontario,May 11-20,September 21-30
Thunder Bay,Ontario,June 21-31,September 11-20
Timmins,Ontario,June 1-10,September 11-15
Toronto,Ontario,May 11-20,November 1-10
Windsor,Ontario,April 11-20,October 21-31
Brandon,Manitoba,May 21-31,September 11-20
The Pas,Manitoba,May 21-31,September 11-20
Thompson,Manitoba,June 11-20,August 11-20
Winnipeg,Manitoba,May 21-31,September 21-30
Moose Jaw,Saskatchewan,May 11-20,September 11-20
Prince Albert,Saskatchewan,May 21-31,September 11-20
Regina,Saskatchewan,May 11-20,September 11-20
Saskatoon,Saskatchewan,June 1-10,September 11-20
Weyburn,Saskatchewan,May 11-20,September 11-20
Athabasca,Alberta,May 21-31,September 1-10
Calgary,Alberta,May 11-20,September 11-20
Edmonton,Alberta,May 1-10,September 11-20
Grande Prairie,Alberta,May 11-20,September 1-10
Lethbridge,Alberta,May 21-31,September 1-10
Medicine Hat,Alberta,May 11-20,September 21-30
Red Deer,Alberta,May 11-20,September 11-20
